SpecimenID,Replicates,S,Structure,F,Filter,Rep_x,ParticleSize_nm,Penetration_pct,DeltaP_Pa,SpecBase,Rep_y
S1F2_R3,S1F23,1,Two-layer knit,2,Meltblown,3,30,12.735506,92.79413528333332,S1F2,3
S1F2_R3,S1F23,1,Two-layer knit,2,Meltblown,3,40,16.691178,92.79413528333332,S1F2,3
S1F2_R3,S1F23,1,Two-layer knit,2,Meltblown,3,60,21.241613,92.79413528333332,S1F2,3
S1F2_R3,S1F23,1,Two-layer knit,2,Meltblown,3,80,23.65514,92.79413528333332,S1F2,3
S1F2_R3,S1F23,1,Two-layer knit,2,Meltblown,3,150,28.518698,92.79413528333332,S1F2,3
S1F2_R3,S1F23,1,Two-layer knit,2,Meltblown,3,250,29.540118,92.79413528333332,S1F2,3
S1F2_R3,S1F23,1,Two-layer knit,2,Meltblown,3,300,27.812816,92.79413528333332,S1F2,3
S1F2_R3,S1F23,1,Two-layer knit,2,Meltblown,3,400,24.506607,92.79413528333332,S1F2,3
S1F2_R4,S1F24,1,Two-layer knit,2,Meltblown,4,30,10.793165,91.71050598333333,S1F2,4
S1F2_R4,S1F24,1,Two-layer knit,2,Meltblown,4,40,14.708855,91.71050598333333,S1F2,4
S1F2_R4,S1F24,1,Two-layer knit,2,Meltblown,4,60,19.628439,91.71050598333333,S1F2,4
S1F2_R4,S1F24,1,Two-layer knit,2,Meltblown,4,80,21.74445,91.71050598333333,S1F2,4
S1F2_R4,S1F24,1,Two-layer knit,2,Meltblown,4,150,25.84237,91.71050598333333,S1F2,4
S1F2_R4,S1F24,1,Two-layer knit,2,Meltblown,4,250,25.737739,91.71050598333333,S1F2,4
S1F2_R4,S1F24,1,Two-layer knit,2,Meltblown,4,300,24.193438,91.71050598333333,S1F2,4
S1F2_R4,S1F24,1,Two-layer knit,2,Meltblown,4,400,21.067832,91.71050598333333,S1F2,4
S1F2_R5,S1F25,1,Two-layer knit,2,Meltblown,5,30,12.184996,91.15152978333333,S1F2,5
S1F2_R5,S1F25,1,Two-layer knit,2,Meltblown,5,40,16.089635,91.15152978333333,S1F2,5
S1F2_R5,S1F25,1,Two-layer knit,2,Meltblown,5,60,20.250855,91.15152978333333,S1F2,5
S1F2_R5,S1F25,1,Two-layer knit,2,Meltblown,5,80,21.724033,91.15152978333333,S1F2,5
S1F2_R5,S1F25,1,Two-layer knit,2,Meltblown,5,150,25.575591,91.15152978333333,S1F2,5
S1F2_R5,S1F25,1,Two-layer knit,2,Meltblown,5,250,26.163749,91.15152978333333,S1F2,5
S1F2_R5,S1F25,1,Two-layer knit,2,Meltblown,5,300,24.618097,91.15152978333333,S1F2,5
S1F2_R5,S1F25,1,Two-layer knit,2,Meltblown,5,400,21.429364,91.15152978333333,S1F2,5
S1F3_R1,S1F31,1,Two-layer knit,3,Glass fiber,1,30,1.560582,150.43814729999997,S1F3,1
S1F3_R1,S1F31,1,Two-layer knit,3,Glass fiber,1,40,3.525781,150.43814729999997,S1F3,1
